run,alpha,eps,beta,epochs,batch_size,hidden,dropout,seed,device,min_test_loss
sweep128,2.6826957952797274e-05,0.001,0.99,100,128,128,0.2,42,cpu,5930587.99708738
sweep129,7.196856730011514e-05,1e-06,0.5,100,128,128,0.2,42,cpu,32.90220021
sweep130,7.196856730011514e-05,1e-06,0.57,100,128,128,0.2,42,cpu,7.96381741
sweep131,7.196856730011514e-05,1e-06,0.64,100,128,128,0.2,42,cpu,8084.74746283
sweep132,7.196856730011514e-05,1e-06,0.71,100,128,128,0.2,42,cpu,24152.8355355
sweep133,7.196856730011514e-05,1e-06,0.78,100,128,128,0.2,42,cpu,1.96548409
sweep134,7.196856730011514e-05,1e-06,0.85,100,128,128,0.2,42,cpu,38381.3333662
sweep135,7.196856730011514e-05,1e-06,0.9199999999999999,100,128,128,0.2,42,cpu,6.024511405400431e+17
sweep136,7.196856730011514e-05,1e-06,0.99,100,128,128,0.2,42,cpu,2114908.6461165
sweep137,7.196856730011514e-05,2.6826957952797274e-06,0.5,100,128,128,0.2,42,cpu,1.80818689
sweep138,7.196856730011514e-05,2.6826957952797274e-06,0.57,100,128,128,0.2,42,cpu,1.78764097
sweep139,7.196856730011514e-05,2.6826957952797274e-06,0.64,100,128,128,0.2,42,cpu,37.49837215
sweep140,7.196856730011514e-05,2.6826957952797274e-06,0.71,100,128,128,0.2,42,cpu,1.88005825
sweep141,7.196856730011514e-05,2.6826957952797274e-06,0.78,100,128,128,0.2,42,cpu,210.69092345
sweep142,7.196856730011514e-05,2.6826957952797274e-06,0.85,100,128,128,0.2,42,cpu,10.53023813
sweep143,7.196856730011514e-05,2.6826957952797274e-06,0.9199999999999999,100,128,128,0.2,42,cpu,9987.50450641
sweep144,7.196856730011514e-05,2.6826957952797274e-06,0.99,100,128,128,0.2,42,cpu,9859.32669903
sweep145,7.196856730011514e-05,7.196856730011514e-06,0.5,100,128,128,0.2,42,cpu,43.17310388
sweep146,7.196856730011514e-05,7.196856730011514e-06,0.57,100,128,128,0.2,42,cpu,7.08315547
sweep147,7.196856730011514e-05,7.196856730011514e-06,0.64,100,128,128,0.2,42,cpu,1.8071491
sweep148,7.196856730011514e-05,7.196856730011514e-06,0.71,100,128,128,0.2,42,cpu,1.86724859
sweep149,7.196856730011514e-05,7.196856730011514e-06,0.78,100,128,128,0.2,42,cpu,6.11288824
sweep150,7.196856730011514e-05,7.196856730011514e-06,0.85,100,128,128,0.2,42,cpu,45337.32828428
sweep151,7.196856730011514e-05,7.196856730011514e-06,0.9199999999999999,100,128,128,0.2,42,cpu,141024.37867112
sweep152,7.196856730011514e-05,7.196856730011514e-06,0.99,100,128,128,0.2,42,cpu,582611.05
sweep153,7.196856730011514e-05,1.9306977288832496e-05,0.5,100,128,128,0.2,42,cpu,1.78716864
sweep154,7.196856730011514e-05,1.9306977288832496e-05,0.57,100,128,128,0.2,42,cpu,2.29897953
sweep155,7.196856730011514e-05,1.9306977288832496e-05,0.64,100,128,128,0.2,42,cpu,712.94490682
sweep156,7.196856730011514e-05,1.9306977288832496e-05,0.71,100,128,128,0.2,42,cpu,230.84313242
sweep157,7.196856730011514e-05,1.9306977288832496e-05,0.78,100,128,128,0.2,42,cpu,29715.92293689
sweep158,7.196856730011514e-05,1.9306977288832496e-05,0.85,100,128,128,0.2,42,cpu,196106.75621966
sweep159,7.196856730011514e-05,1.9306977288832496e-05,0.9199999999999999,100,128,128,0.2,42,cpu,53723.39482706
sweep160,7.196856730011514e-05,1.9306977288832496e-05,0.99,100,128,128,0.2,42,cpu,666211.22433252
sweep161,7.196856730011514e-05,5.1794746792312125e-05,0.5,100,128,128,0.2,42,cpu,4.75400188
sweep162,7.196856730011514e-05,5.1794746792312125e-05,0.57,100,128,128,0.2,42,cpu,12.9986195
sweep163,7.196856730011514e-05,5.1794746792312125e-05,0.64,100,128,128,0.2,42,cpu,1.81172067
sweep164,7.196856730011514e-05,5.1794746792312125e-05,0.71,100,128,128,0.2,42,cpu,527.2566731
sweep165,7.196856730011514e-05,5.1794746792312125e-05,0.78,100,128,128,0.2,42,cpu,3.39001894
sweep166,7.196856730011514e-05,5.1794746792312125e-05,0.85,100,128,128,0.2,42,cpu,9817.83712075
sweep167,7.196856730011514e-05,5.1794746792312125e-05,0.9199999999999999,100,128,128,0.2,42,cpu,34.40711307
sweep168,7.196856730011514e-05,5.1794746792312125e-05,0.99,100,128,128,0.2,42,cpu,5909996.03980582
sweep169,7.196856730011514e-05,0.00013894954943731373,0.5,100,128,128,0.2,42,cpu,1.81934439
sweep170,7.196856730011514e-05,0.00013894954943731373,0.57,100,128,128,0.2,42,cpu,1.78792373
sweep171,7.196856730011514e-05,0.00013894954943731373,0.64,100,128,128,0.2,42,cpu,1.789841
sweep172,7.196856730011514e-05,0.00013894954943731373,0.71,100,128,128,0.2,42,cpu,742.75398411
sweep173,7.196856730011514e-05,0.00013894954943731373,0.78,100,128,128,0.2,42,cpu,1.97516049
sweep174,7.196856730011514e-05,0.00013894954943731373,0.85,100,128,128,0.2,42,cpu,3576.12865974
sweep175,7.196856730011514e-05,0.00013894954943731373,0.9199999999999999,100,128,128,0.2,42,cpu,230.49391799
sweep176,7.196856730011514e-05,0.00013894954943731373,0.99,100,128,128,0.2,42,cpu,20841.99739457
sweep177,7.196856730011514e-05,0.0003727593720314938,0.5,100,128,128,0.2,42,cpu,1.91475351
sweep178,7.196856730011514e-05,0.0003727593720314938,0.57,100,128,128,0.2,42,cpu,95.53423752
sweep179,7.196856730011514e-05,0.0003727593720314938,0.64,100,128,128,0.2,42,cpu,1.90620769
sweep180,7.196856730011514e-05,0.0003727593720314938,0.71,100,128,128,0.2,42,cpu,1.79772317
sweep181,7.196856730011514e-05,0.0003727593720314938,0.78,100,128,128,0.2,42,cpu,245.621879
sweep182,7.196856730011514e-05,0.0003727593720314938,0.85,100,128,128,0.2,42,cpu,77974738.01941748
sweep183,7.196856730011514e-05,0.0003727593720314938,0.9199999999999999,100,128,128,0.2,42,cpu,12.33792996
sweep184,7.196856730011514e-05,0.0003727593720314938,0.99,100,128,128,0.2,42,cpu,1746378348.116505
sweep185,7.196856730011514e-05,0.001,0.5,100,128,128,0.2,42,cpu,1.78928284
sweep186,7.196856730011514e-05,0.001,0.57,100,128,128,0.2,42,cpu,1.92698634
sweep187,7.196856730011514e-05,0.001,0.64,100,128,128,0.2,42,cpu,1.81811608
sweep188,7.196856730011514e-05,0.001,0.71,100,128,128,0.2,42,cpu,257985.28968447
sweep189,7.196856730011514e-05,0.001,0.78,100,128,128,0.2,42,cpu,27127.35931432
sweep190,7.196856730011514e-05,0.001,0.85,100,128,128,0.2,42,cpu,324983.71525476
sweep191,7.196856730011514e-05,0.001,0.9199999999999999,100,128,128,0.2,42,cpu,241.43168382
sweep192,7.196856730011514e-05,0.001,0.99,100,128,128,0.2,42,cpu,194384136.04660195
sweep193,0.00019306977288832496,1e-06,0.5,100,128,128,0.2,42,cpu,87.55261319
sweep194,0.00019306977288832496,1e-06,0.57,100,128,128,0.2,42,cpu,38.58827203
sweep195,0.00019306977288832496,1e-06,0.64,100,128,128,0.2,42,cpu,1.83534395
sweep196,0.00019306977288832496,1e-06,0.71,100,128,128,0.2,42,cpu,3.90976855
sweep197,0.00019306977288832496,1e-06,0.78,100,128,128,0.2,42,cpu,1.90923125
sweep198,0.00019306977288832496,1e-06,0.85,100,128,128,0.2,42,cpu,46.05133623
sweep199,0.00019306977288832496,1e-06,0.9199999999999999,100,128,128,0.2,42,cpu,2757.12830325
sweep200,0.00019306977288832496,1e-06,0.99,100,128,128,0.2,42,cpu,17333569953.5534
sweep201,0.00019306977288832496,2.6826957952797274e-06,0.5,100,128,128,0.2,42,cpu,1.9928838
sweep202,0.00019306977288832496,2.6826957952797274e-06,0.57,100,128,128,0.2,42,cpu,1.79290092
sweep203,0.00019306977288832496,2.6826957952797274e-06,0.64,100,128,128,0.2,42,cpu,183.01241778
sweep204,0.00019306977288832496,2.6826957952797274e-06,0.71,100,128,128,0.2,42,cpu,1.96137728
sweep205,0.00019306977288832496,2.6826957952797274e-06,0.78,100,128,128,0.2,42,cpu,2842765.35461165
sweep206,0.00019306977288832496,2.6826957952797274e-06,0.85,100,128,128,0.2,42,cpu,1060538.41371359
sweep207,0.00019306977288832496,2.6826957952797274e-06,0.9199999999999999,100,128,128,0.2,42,cpu,2154.55924937
sweep208,0.00019306977288832496,2.6826957952797274e-06,0.99,100,128,128,0.2,42,cpu,18774.53816937
sweep209,0.00019306977288832496,7.196856730011514e-06,0.5,100,128,128,0.2,42,cpu,1.80478277
sweep210,0.00019306977288832496,7.196856730011514e-06,0.57,100,128,128,0.2,42,cpu,778.62318257
sweep211,0.00019306977288832496,7.196856730011514e-06,0.64,100,128,128,0.2,42,cpu,24.1872861
sweep212,0.00019306977288832496,7.196856730011514e-06,0.71,100,128,128,0.2,42,cpu,1.78829602
sweep213,0.00019306977288832496,7.196856730011514e-06,0.78,100,128,128,0.2,42,cpu,31.48722529
sweep214,0.00019306977288832496,7.196856730011514e-06,0.85,100,128,128,0.2,42,cpu,1.83937234
sweep215,0.00019306977288832496,7.196856730011514e-06,0.9199999999999999,100,128,128,0.2,42,cpu,3.0665175785072274e+26
sweep216,0.00019306977288832496,7.196856730011514e-06,0.99,100,128,128,0.2,42,cpu,189477929023.6272
sweep217,0.00019306977288832496,1.9306977288832496e-05,0.5,100,128,128,0.2,42,cpu,1.98791901
sweep218,0.00019306977288832496,1.9306977288832496e-05,0.57,100,128,128,0.2,42,cpu,182.54186635
sweep219,0.00019306977288832496,1.9306977288832496e-05,0.64,100,128,128,0.2,42,cpu,16.70012395
sweep220,0.00019306977288832496,1.9306977288832496e-05,0.71,100,128,128,0.2,42,cpu,84.81700847
sweep221,0.00019306977288832496,1.9306977288832496e-05,0.78,100,128,128,0.2,42,cpu,179522.68728762
sweep222,0.00019306977288832496,1.9306977288832496e-05,0.85,100,128,128,0.2,42,cpu,1.80116717
sweep223,0.00019306977288832496,1.9306977288832496e-05,0.9199999999999999,100,128,128,0.2,42,cpu,286.35049027
sweep224,0.00019306977288832496,1.9306977288832496e-05,0.99,100,128,128,0.2,42,cpu,355184.2836165
sweep225,0.00019306977288832496,5.1794746792312125e-05,0.5,100,128,128,0.2,42,cpu,1.8171258
sweep226,0.00019306977288832496,5.1794746792312125e-05,0.57,100,128,128,0.2,42,cpu,1.830313
sweep227,0.00019306977288832496,5.1794746792312125e-05,0.64,100,128,128,0.2,42,cpu,1.83141935
sweep228,0.00019306977288832496,5.1794746792312125e-05,0.71,100,128,128,0.2,42,cpu,1.82072547
sweep229,0.00019306977288832496,5.1794746792312125e-05,0.78,100,128,128,0.2,42,cpu,84225.91747573
sweep230,0.00019306977288832496,5.1794746792312125e-05,0.85,100,128,128,0.2,42,cpu,28.63420248
sweep231,0.00019306977288832496,5.1794746792312125e-05,0.9199999999999999,100,128,128,0.2,42,cpu,445.43438336
sweep232,0.00019306977288832496,5.1794746792312125e-05,0.99,100,128,128,0.2,42,cpu,9952.07482744
sweep233,0.00019306977288832496,0.00013894954943731373,0.5,100,128,128,0.2,42,cpu,1.82152405
sweep234,0.00019306977288832496,0.00013894954943731373,0.57,100,128,128,0.2,42,cpu,103.97873997
sweep235,0.00019306977288832496,0.00013894954943731373,0.64,100,128,128,0.2,42,cpu,512.9675117
sweep236,0.00019306977288832496,0.00013894954943731373,0.71,100,128,128,0.2,42,cpu,990.40280975
sweep237,0.00019306977288832496,0.00013894954943731373,0.78,100,128,128,0.2,42,cpu,1896.44925324
sweep238,0.00019306977288832496,0.00013894954943731373,0.85,100,128,128,0.2,42,cpu,2715779354.8427186
sweep239,0.00019306977288832496,0.00013894954943731373,0.9199999999999999,100,128,128,0.2,42,cpu,32.89337366
sweep240,0.00019306977288832496,0.00013894954943731373,0.99,100,128,128,0.2,42,cpu,95421.5476335
sweep241,0.00019306977288832496,0.0003727593720314938,0.5,100,128,128,0.2,42,cpu,1.80670326
sweep242,0.00019306977288832496,0.0003727593720314938,0.57,100,128,128,0.2,42,cpu,1.78780604
sweep243,0.00019306977288832496,0.0003727593720314938,0.64,100,128,128,0.2,42,cpu,63.22497458
sweep244,0.00019306977288832496,0.0003727593720314938,0.71,100,128,128,0.2,42,cpu,55.21803734
sweep245,0.00019306977288832496,0.0003727593720314938,0.78,100,128,128,0.2,42,cpu,77.66123408
sweep246,0.00019306977288832496,0.0003727593720314938,0.85,100,128,128,0.2,42,cpu,7038295.0184466
sweep247,0.00019306977288832496,0.0003727593720314938,0.9199999999999999,100,128,128,0.2,42,cpu,645778.87542476
sweep248,0.00019306977288832496,0.0003727593720314938,0.99,100,128,128,0.2,42,cpu,73116.5717233
sweep249,0.00019306977288832496,0.001,0.5,100,128,128,0.2,42,cpu,1.79951842
sweep250,0.00019306977288832496,0.001,0.57,100,128,128,0.2,42,cpu,2.10287894
sweep251,0.00019306977288832496,0.001,0.64,100,128,128,0.2,42,cpu,27.83460722
sweep252,0.00019306977288832496,0.001,0.71,100,128,128,0.2,42,cpu,754.43271259
sweep253,0.00019306977288832496,0.001,0.78,100,128,128,0.2,42,cpu,5996.12138293
sweep254,0.00019306977288832496,0.001,0.85,100,128,128,0.2,42,cpu,2763.11732735
sweep255,0.00019306977288832496,0.001,0.9199999999999999,100,128,128,0.2,42,cpu,32.41950777
sweep256,0.00019306977288832496,0.001,0.99,100,128,128,0.2,42,cpu,303004.08756068
